TYPE;NAME;DETAIL;QUAN;PRICE in Euro;"TOTAL
PRICE in Euro";SHOP;SOURCE
T;keyboard replacement stickers USA layout;keyboard replacement stickers USA layout – maxi (14x14);1;6,99;6,99;tastaturaufkleber.eu;https://www.tastaturaufkleber.eu/Tastaturaufkleber/Tastaturaufkleber-PC/Englisch/Tastaturaufkleber-ENGLISCH-USA-MAXI::92.html?MODsid=vqkqk93o35mf3jnu1dnm3b4tp7
T;Laptop | Dell E7240 with OS;"Dell Latitude E7240 i5-4300U 1,9GHz 8GB 128GB SSD 12,5""; Zorin Educational LITE 14";1;169,9;169,9;brandused;
T;LED Tester;LED TESTER 2...150MA;1;6,8;6,8;SEGOR;https://www.reichelt.com/de/de/testgeraet-fuer-leds-led-tester-p32856.html
T;Lighter;small one (e.g. BIG);1;1;1;Späti;
T;Marker;permanent marker 3000 Edding black;1;1,99;1,99;PAPER-LA-PAP;
T;Mechanical Tool Set Black And Decker;black-orange rolled up tool bag;1;40;40;AMAZON;https://smile.amazon.de/gp/product/B003BUAE70/ 
T;Metal ruler;;1;0,99;0,99;PAPER-LA-PAP;
T;Multi Battery Charger;ANS 1001-0019 PhotoCam Vario, for all rechargeable batteries;1;18,2;18,2;reichelt;https://www.reichelt.com/de/de/ladegeraet-photocam-vario-fuer-akkupacks-und-akkus-ans-1001-0019-p202581.html
T;Multimeter;MS 8233 B with display light;1;14;14;SEGOR;
T;Notebook Sleeve 11,6“;Vivanco Notebook Sleeve 11,6“;1;12,99;12,99;SATURN;
T;Pen;;1;0,6;0,6;PAPER-LA-PAP;
T;Pencil + eraser;;1;1,19;1,19;PAPER-LA-PAP;
T;Pencil Pouch ;nylon zipper bag (Pen, Pencil, Sharpener, Small Brush, Highlighter, Marker, Metal Ruler);1;3,79;3,79;PAPER-LA-PAP;
T;Plastic Containers;BOX 11/40  small plastic storage container with lid;4;0,5;2;SEGOR;
T;Plastic Zipper Bag A4;blue zipper;1;3,5;3,5;Modulor;https://www.modulor.de/reissverschlussbeutel-transparent-265-x-350-fuer-din-a4-reissverschluss-blau.html
T;Plastic Zipper Bag A6;orange zipper;5;1,5;7,5;Modulor;https://www.modulor.de/reissverschlussbeutel-transparent-140-x-178-fuer-din-a6-reissverschluss-orange-oxid.html
T;Plastic Zipper Bag B6;red zipper;2;1,9;3,8;Modulor;https://www.modulor.de/reissverschlussbeutel-transparent-180-x-225-fuer-din-b6-reissverschluss-rot.html
T;Protractor / Ruler;length 160mm;1;1,75;1,75;reichelt;https://www.reichelt.com/de/de/geo-dreieck-hypotenuse-laenge-160mm-ar-1552-p53361.html?&trstct=pos_0
T;Radio Set;FM - MODUL SI 4703;1;7,9;7,9;SEGOR;
T;Scissors;REXEL 2104242 stainless steel, grün;1;3,95;3,95;reichelt;https://www.reichelt.com/de/de/edelstahlschere-x3-gruen-rexel-2104242-p178165.html
T;Sewing Kit;basic sewing threads and needles and magnifying glas;1;7,99;7,99;AMAZON;https://smile.amazon.de/gp/product/B075ZYCQK1 
T;Sharpener;;1;0,4;0,4;PAPER-LA-PAP;
T;Small Brush;small yellow-haired paint brush;1;0,85;0,85;PAPER-LA-PAP;
T;Small Combination Padlock;ABUS Jet Set | 155;1;6,95;6,95;BAUHAUS;https://www.bauhaus.info/vorhaengeschloesser/abus-vorhaengezahlenschloss-15520/p/10170332
T;Soldering Iron Tray;CLEANER 460A incl. cleaner;1;5,95;5,95;reichelt;https://www.reichelt.com/de/de/loetkolbenablage-und-loetspitzenreiniger-cleaner-460a-p87381.html?&trstct=pos_0
T;Soldering tip (extra);round, 3.9mm;1;1,8;1,8;SEGOR;
T;Textile Tool Box;Travel bag/box, Wera 2 Go 3, Textile, 325x130x80 mm, black with velcro ;1;25,3;25,3;reichelt;https://www.reichelt.com/de/de/werkzeug-box-wera-2-go-3-textil-325x130x80-mm-wera-2go-3-p196338.html
T;Third hand;Third Hand Tool with Magnifying Glass;1;4,75;4,75;reichelt;https://www.reichelt.de/platinenhalter-mit-lupe-mit-standfuss-helfende-hand-halter-zd-10d-p90934.html
T;Tool bag + soldering iron;FIXPOINT 45243 tool bag + soldering iron, 20 parts;1;30,95;30,95;reichelt;https://www.reichelt.com/de/de/werkzeugtasche-und-loetkolben-set-20-teilig-fixpoint-45243-p244928.html
T;Torx Bits (T7, T8, T9);T3 T4 T5 T6 T7 T8 T9 T10 T15 T20 28mm;1;1,89;1,89;ebay;https://www.ebay.de/itm/10-tlg-Torx-Bit-Set-mit-Loch-T3-T4-T5-T6-T7-T8-T9-T10-T15-T20-28mm-LANG-Stuck-DE/223492722109?hash=item3409344dbd:g:h4EAAOSwDvBcv~q5
T;Travel Adapter;KW 38462 including USB plug;1;12,99;12,99;reichelt;https://www.reichelt.com/de/de/universal-reiseadapter-mit-integriertem-usb-ladegeraet-kw-38462-p242808.html
T;Universal Mobile repair Kit;GB 44690 for smartphones, 17 parts, incl. Pentalobe;1;11,1;11,1;reichelt;https://www.reichelt.com/de/de/werkzeugsatz-handy-und-smartphone-17-teilig-inkl-pentalobe-gb-44690-p185964.html
T;USB flash drive (32GB);TOS U301W0320E4 USB-Stick, USB 3.0, 32 GB, U301 white;1;6,95;6,95;reichelt;https://www.reichelt.com/de/de/usb-stick-usb-3-0-32-gb-u301-weiss-tos-u301w0320e4-p164697.html?&trstct=pol_9
T;USB Volt- & Amperemeter;USB Detector/DualDisplay Charger Doctor;1;3,3;3,3;reichelt;https://www.reichelt.com/de/de/raspberry-pi-ampere-voltmeter-1-fach-usb-rpi-usb-meter1-p223622.html 
T;Velcro hook band (30mm);self-adhesive;1;2,9;2,9;klettladen.de;https://www.klettladen.de/product_info.php/products_id/168
T;Velcro loop band (100mm);self-adhesive;2;6,88;13,76;klettladen.de;https://www.klettladen.de/product_info.php/products_id/165
T;Wire Cutter;red & slim;1;4,2;4,2;SEGOR;
T;Workplace Textile;A0 heavy cotton, grey;0,9;8,9;8,01;Modulor;https://www.modulor.de/schwerer-baumwollstoff-canvas-uni-4795-b-ca-1440-mm-hellgrau-62.html
;;;;;;;
TOTAL;;;;;966,64;€;
